States,Latitude,Longitude,totalConfirmedCases,recovered,deaths
Andaman and Nicobar Islands,11.66702557,92.73598262,33,33,0
Andhra Pradesh,14.7504291,78.57002559,2018,975,45
Arunachal Pradesh,27.10039878,93.61660071,1,1,0
Assam,26.7499809,94.21666744,65,34,2
Bihar,25.78541445,87.4799727,747,377,6
Chandigarh,30.71999697,76.78000565,174,24,2
Chhattisgarh,22.09042035,82.15998734,59,53,0
Dadra And Nagar Haveli,20.26657819,73.0166178,NA,NA,NA
Delhi,28.6699929,77.23000403,7233,2129,73
Goa,15.491997,73.81800065,7,7,0
Haryana,28.45000633,77.01999101,730,337,11
Himachal Pradesh,31.10002545,77.16659704,59,39,2
Jammu and Kashmir,34.29995933,74.46665849,879,427,10
Jharkhand,23.80039349,86.41998572,160,78,3
Karnataka,12.57038129,76.91999711,862,426,31
Kerala,8.900372741,76.56999263,519,489,4
Lakshadweep,10.56257331,72.63686717,NA,NA,NA
Madhya Pradesh,21.300391050000002,76.13001949,3785,1747,221
Maharashtra,19.25023195,73.16017493,23401,4786,868
Manipur,24.79997072,93.95001705,2,2,0
Meghalaya,25.57049217,91.8800142,13,10,1
Mizoram,23.71039899,92.72001461,1,1,0
Nagaland,25.6669979,94.11657019,NA,NA,NA
Odisha,19.82042971,85.90001746,414,85,3
Puducherry,11.93499371,79.83000037,12,6,0
Punjab,31.51997398,75.98000281,1877,168,31
Rajasthan,26.44999921,74.63998124,3988,2264,113
Sikkim,27.3333303,88.6166475,NA,NA,NA
Tamil Nadu,12.92038576,79.15004187,8002,2051,53
Tripura,23.83540428,91.27999914,152,2,0
Uttar Pradesh,27.59998069,78.05000565,3573,1758,80
Uttarakhand,30.32040895,78.05000565,68,46,1
West Bengal,22.58039044,88.32994665,2063,499,190
Ladakh,34.152588,77.577049,42,21,0
Telengana,18.1124,79.0193,1275,800,30
Gujarat,22.2587,71.1924,8541,2780,513
