States,Latitude,Longitude,confirmedCasesIndia,confirmedCasesForeign,recovered,deaths,totalConfirmedCases
Andaman And Nicobar,11.66702557,92.73598262,NA,NA,NA,NA,NA
Andhra Pradesh,14.7504291,78.57002559,5,0,0,0,5
Arunachal Pradesh,27.10039878,93.61660071,NA,NA,NA,NA,NA
Assam,26.7499809,94.21666744,NA,NA,NA,NA,NA
Bihar,25.78541445,87.4799727,2,0,0,1,2
Chandigarh,30.71999697,76.78000565,5,0,0,0,5
Chhattisgarh,22.09042035,82.15998734,1,0,0,0,1
Dadra And Nagar Haveli,20.26657819,73.0166178,NA,NA,NA,NA,NA
Delhi,28.6699929,77.23000403,28,1,5,1,29
Goa,15.491997,73.81800065,NA,NA,NA,NA,NA
Haryana,28.45000633,77.01999101,7,14,0,0,21
Himachal Pradesh,31.10002545,77.16659704,2,0,0,0,2
Jammu and Kashmir,34.29995933,74.46665849,4,0,0,0,4
Jharkhand,23.80039349,86.41998572,NA,NA,NA,NA,NA
Karnataka,12.57038129,76.91999711,26,0,2,1,26
Kerala,8.900372741,76.56999263,45,7,3,0,52
Lakshadweep,10.56257331,72.63686717,NA,NA,NA,NA,NA
Madhya Pradesh,21.300391050000002,76.13001949,4,0,0,0,4
Maharashtra,19.25023195,73.16017493,64,3,0,2,67
Manipur,24.79997072,93.95001705,NA,NA,NA,NA,NA
Meghalaya,25.57049217,91.8800142,NA,NA,NA,NA,NA
Mizoram,23.71039899,92.72001461,NA,NA,NA,NA,NA
Nagaland,25.6669979,94.11657019,NA,NA,NA,NA,NA
Odisha,19.82042971,85.90001746,2,0,0,0,2
Puducherry,11.93499371,79.83000037,1,0,0,0,1
Punjab,31.51997398,75.98000281,21,0,0,1,21
Rajasthan,26.44999921,74.63998124,22,2,3,0,24
Sikkim,27.3333303,88.6166475,NA,NA,NA,NA,NA
Tamil Nadu,12.92038576,79.15004187,5,2,1,0,7
Tripura,23.83540428,91.27999914,NA,NA,NA,NA,NA
Uttar Pradesh,27.59998069,78.05000565,26,1,9,0,27
Uttarakhand,30.32040895,78.05000565,3,0,0,0,3
West Bengal,22.58039044,88.32994665,4,0,0,0,4
Ladakh,34.152588,77.577049,13,0,0,0,13
Telengana,18.1124,79.0193,11,11,1,0,22
Gujarat,22.2587,71.1924,18,0,0,1,18
